[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[17]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[18]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[18]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[19]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[19]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[2]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[2]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[20]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[20]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[21]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[21]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[22]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[22]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[23]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[23]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[24]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[24]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[25]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[25]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[26]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[26]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[27]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[27]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[28]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[28]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[29]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[29]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[3]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[3]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[4]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[4]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[5]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[5]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[6]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[6]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[7]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[7]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[8]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[8]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[9]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[9]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[0]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[0]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[1]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[1]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[10]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[10]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[11]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[11]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[12]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[12]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[13]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[13]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[14]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[14]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[15]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[15]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[16]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[16]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[17]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[17]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[18]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[18]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[19]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[19]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[2]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[2]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[20]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[20]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[21]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[21]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[22]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[22]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[23]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[23]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[24]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[24]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[25]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[25]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[26]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[26]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[27]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[27]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[28]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[28]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[29]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[29]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[3]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[3]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[4]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[4]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[5]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[5]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[6]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[6]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[7]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[7]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[8]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[8]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[9]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[14]PillarTrackLaneRingsR (1).[9]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[15]PillarsMovementEffect
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[0]PillarL
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[0]PillarL.[0]Pillar
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[0]PillarL.[1]RotationBaseL
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[0]PillarL.[1]RotationBaseL.[0]LaserLH
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[0]PillarL.[1]RotationBaseL.[0]LaserLH.[0]BakedBloom
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[0]PillarL.[1]RotationBaseL.[0]LaserLH.[1]BoxLight
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[0]PillarL.[1]RotationBaseL.[1]LaserLight0
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[0]PillarL.[1]RotationBaseL.[1]LaserLight0.[0]BakedBloom
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[0]PillarL.[1]RotationBaseL.[1]LaserLight0.[1]BoxLight
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[0]PillarL.[1]RotationBaseL.[2]Reflector
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[0]PillarL.[2]LaserL
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[0]PillarL.[2]LaserL.[0]BakedBloom
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[0]PillarL.[2]LaserL.[1]BoxLight
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[0]PillarL.[3]LaserLight0
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[0]PillarL.[3]LaserLight0.[0]BakedBloom
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[0]PillarL.[3]LaserLight0.[1]BoxLight
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[1]PillarR
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[1]PillarR.[0]Pillar
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[1]PillarR.[1]RotationBaseR
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[1]PillarR.[1]RotationBaseR.[0]LaserRH
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[1]PillarR.[1]RotationBaseR.[0]LaserRH.[0]BakedBloom
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[1]PillarR.[1]RotationBaseR.[0]LaserRH.[1]BoxLight
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[1]PillarR.[1]RotationBaseR.[1]LaserLight0
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[1]PillarR.[1]RotationBaseR.[1]LaserLight0.[0]BakedBloom
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[1]PillarR.[1]RotationBaseR.[1]LaserLight0.[1]BoxLight
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[1]PillarR.[1]RotationBaseR.[2]Reflector
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[1]PillarR.[2]LaserR
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[1]PillarR.[2]LaserR.[0]BakedBloom
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[1]PillarR.[2]LaserR.[1]BoxLight
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[1]PillarR.[3]LaserLight0
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[1]PillarR.[3]LaserLight0.[0]BakedBloom
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[16]PillarPair.[1]PillarR.[3]LaserLight0.[1]BoxLight
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[0]PillarL
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[0]PillarL.[0]Pillar
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[0]PillarL.[1]RotationBaseL
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[0]PillarL.[1]RotationBaseL.[0]LaserLH
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[0]PillarL.[1]RotationBaseL.[0]LaserLH.[0]BakedBloom
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[0]PillarL.[1]RotationBaseL.[0]LaserLH.[1]BoxLight
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[0]PillarL.[1]RotationBaseL.[1]LaserLight0
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[0]PillarL.[1]RotationBaseL.[1]LaserLight0.[0]BakedBloom
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[0]PillarL.[1]RotationBaseL.[1]LaserLight0.[1]BoxLight
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[0]PillarL.[1]RotationBaseL.[2]Reflector
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[0]PillarL.[2]LaserL
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[0]PillarL.[2]LaserL.[0]BakedBloom
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[0]PillarL.[2]LaserL.[1]BoxLight
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[0]PillarL.[3]LaserLight0
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[0]PillarL.[3]LaserLight0.[0]BakedBloom
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[0]PillarL.[3]LaserLight0.[1]BoxLight
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[1]PillarR
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[1]PillarR.[0]Pillar
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[1]PillarR.[1]RotationBaseR
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[17]SmallPillarPair.[1]PillarR.[1]RotationBaseR.[0]LaserRH
