[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[15]CoreLighting.[5]DirectionalLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[16]LightWithIdManager
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[17]LightEffects
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[18]FrontLights
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[18]FrontLights.[0]NeonTube
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[18]FrontLights.[0]NeonTube.[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[18]FrontLights.[0]NeonTube.[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[18]FrontLights.[1]NeonTube (1)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[18]FrontLights.[1]NeonTube (1).[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[18]FrontLights.[1]NeonTube (1).[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[19]DoubleColorLaser
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[19]DoubleColorLaser.[0]TopBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[19]DoubleColorLaser.[1]TopBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[19]DoubleColorLaser.[2]BottomBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[19]DoubleColorLaser.[3]BottomBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[2]Floor
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[2]Floor.[0]FloorSetDepth
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[20]DoubleColorLaser (4)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[20]DoubleColorLaser (4).[0]TopBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[20]DoubleColorLaser (4).[1]TopBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[20]DoubleColorLaser (4).[2]BottomBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[20]DoubleColorLaser (4).[3]BottomBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[21]DoubleColorLaser (1)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[21]DoubleColorLaser (1).[0]TopBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[21]DoubleColorLaser (1).[1]TopBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[21]DoubleColorLaser (1).[2]BottomBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[21]DoubleColorLaser (1).[3]BottomBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[22]DoubleColorLaser (2)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[22]DoubleColorLaser (2).[0]TopBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[22]DoubleColorLaser (2).[1]TopBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[22]DoubleColorLaser (2).[2]BottomBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[22]DoubleColorLaser (2).[3]BottomBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[23]DoubleColorLaser (3)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[23]DoubleColorLaser (3).[0]TopBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[23]DoubleColorLaser (3).[1]TopBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[23]DoubleColorLaser (3).[2]BottomBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[23]DoubleColorLaser (3).[3]BottomBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[24]DoubleColorLaser (5)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[24]DoubleColorLaser (5).[0]TopBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[24]DoubleColorLaser (5).[1]TopBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[24]DoubleColorLaser (5).[2]BottomBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[24]DoubleColorLaser (5).[3]BottomBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[25]DoubleColorLaser (6)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[25]DoubleColorLaser (6).[0]TopBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[25]DoubleColorLaser (6).[1]TopBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[25]DoubleColorLaser (6).[2]BottomBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[25]DoubleColorLaser (6).[3]BottomBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[26]DoubleColorLaser (8)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[26]DoubleColorLaser (8).[0]TopBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[26]DoubleColorLaser (8).[1]TopBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[26]DoubleColorLaser (8).[2]BottomBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[26]DoubleColorLaser (8).[3]BottomBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[27]DoubleColorLaser (7)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[27]DoubleColorLaser (7).[0]TopBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[27]DoubleColorLaser (7).[1]TopBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[27]DoubleColorLaser (7).[2]BottomBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[27]DoubleColorLaser (7).[3]BottomBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[28]DoubleColorLaser (9)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[28]DoubleColorLaser (9).[0]TopBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[28]DoubleColorLaser (9).[1]TopBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[28]DoubleColorLaser (9).[2]BottomBoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[28]DoubleColorLaser (9).[3]BottomBakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[29]RotatingLasersPair
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[29]RotatingLasersPair.[0]BaseL
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[29]RotatingLasersPair.[0]BaseL.[0]Laser
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[29]RotatingLasersPair.[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[29]RotatingLasersPair.[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[29]RotatingLasersPair.[1]BaseR
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[29]RotatingLasersPair.[1]BaseR.[0]Laser
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[29]RotatingLasersPair.[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[29]RotatingLasersPair.[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[3]BackColumns
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[3]BackColumns.[0]BackColumnNeon
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[3]BackColumns.[0]BackColumnNeon.[0]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[3]BackColumns.[0]BackColumnNeon.[1]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[3]BackColumns.[1]BackColumnNeon
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[3]BackColumns.[1]BackColumnNeon.[0]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[3]BackColumns.[1]BackColumnNeon.[1]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[30]RotatingLasersPair (1)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[30]RotatingLasersPair (1).[0]BaseL
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[30]RotatingLasersPair (1).[0]BaseL.[0]Laser
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[30]RotatingLasersPair (1).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[30]RotatingLasersPair (1).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[30]RotatingLasersPair (1).[1]BaseR
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[30]RotatingLasersPair (1).[1]BaseR.[0]Laser
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[30]RotatingLasersPair (1).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[30]RotatingLasersPair (1).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[31]RotatingLasersPair (2)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[31]RotatingLasersPair (2).[0]BaseL
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[31]RotatingLasersPair (2).[0]BaseL.[0]Laser
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[31]RotatingLasersPair (2).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[31]RotatingLasersPair (2).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[31]RotatingLasersPair (2).[1]BaseR
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[31]RotatingLasersPair (2).[1]BaseR.[0]Laser
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[31]RotatingLasersPair (2).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[31]RotatingLasersPair (2).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[32]RotatingLasersPair (3)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[32]RotatingLasersPair (3).[0]BaseL
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[32]RotatingLasersPair (3).[0]BaseL.[0]Laser
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[32]RotatingLasersPair (3).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[32]RotatingLasersPair (3).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[32]RotatingLasersPair (3).[1]BaseR
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[32]RotatingLasersPair (3).[1]BaseR.[0]Laser
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[32]RotatingLasersPair (3).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[32]RotatingLasersPair (3).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[33]NeonTubeDirectionalL
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[33]NeonTubeDirectionalL.[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[33]NeonTubeDirectionalL.[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[34]NeonTubeDirectionalFL
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[34]NeonTubeDirectionalFL.[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[34]NeonTubeDirectionalFL.[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[35]NeonTubeDirectionalR
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[35]NeonTubeDirectionalR.[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[35]NeonTubeDirectionalR.[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[36]NeonTubeDirectionalFR
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[36]NeonTubeDirectionalFR.[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[36]NeonTubeDirectionalFR.[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[37]GradientBackground
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[38]BakedReflectionProbe
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[39]BSBakedLightingLightWithIds
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[4]Construction
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[40]FakeMirrorSettings
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[41]BakedReflectionProbeInstaller
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[5]PlayersPlace
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[5]PlayersPlace.[0]Mirror
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[5]PlayersPlace.[1]Feet
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[5]PlayersPlace.[2]Construction
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[5]PlayersPlace.[3]RectangleFakeGlow
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[5]PlayersPlace.[4]Frame
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[5]PlayersPlace.[5]SaberBurnMarksParticles
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[5]PlayersPlace.[5]SaberBurnMarksParticles.[0]SaberBurnMarkSparklePS
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[5]PlayersPlace.[6]SaberBurnMarksArea
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[5]PlayersPlace.[7]Collider
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[6]NearBuildingLeft
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[6]NearBuildingLeft.[0]Mesh
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[6]NearBuildingLeft.[1]NeonTubeDirectional
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[6]NearBuildingLeft.[1]NeonTubeDirectional.[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[6]NearBuildingLeft.[1]NeonTubeDirectional.[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[6]NearBuildingLeft.[2]NeonTubeDirectional (1)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[6]NearBuildingLeft.[2]NeonTubeDirectional (1).[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[6]NearBuildingLeft.[2]NeonTubeDirectional (1).[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[6]NearBuildingLeft.[3]NeonTube (2)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[6]NearBuildingLeft.[3]NeonTube (2).[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[6]NearBuildingLeft.[3]NeonTube (2).[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[7]NearBuildingRight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[7]NearBuildingRight.[0]Mesh
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[7]NearBuildingRight.[1]NeonTubeDirectional
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[7]NearBuildingRight.[1]NeonTubeDirectional.[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[7]NearBuildingRight.[1]NeonTubeDirectional.[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[7]NearBuildingRight.[2]NeonTubeDirectional (1)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[7]NearBuildingRight.[2]NeonTubeDirectional (1).[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[7]NearBuildingRight.[2]NeonTubeDirectional (1).[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[7]NearBuildingRight.[3]NeonTube (2)
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[7]NearBuildingRight.[3]NeonTube (2).[0]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[7]NearBuildingRight.[3]NeonTube (2).[1]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[8]====== DYNAMIC ======
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[0]EnergyPanel
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[0]EnergyPanel.[0]BG
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[0]EnergyPanel.[1]BarBG
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[0]EnergyPanel.[2]EnergyIconEmpty
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[0]EnergyPanel.[3]EnergyIconFull
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[0]EnergyPanel.[4]EnergyBarWrapper
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[0]EnergyPanel.[4]EnergyBarWrapper.[0]EnergyBar
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[0]EnergyPanel.[5]Laser
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[0]EnergyPanel.[5]Laser.[0]BoxLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[0]EnergyPanel.[5]Laser.[1]BakedBloom
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[0]EnergyPanel.[6]FailIcon
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[0]EnergyPanel.[7]Colorer
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[1]LeftPanel
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[1]LeftPanel.[0]BG
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[1]LeftPanel.[1]Top
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[1]LeftPanel.[2]ComboPanel
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[1]LeftPanel.[2]ComboPanel.[0]ComboText
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[1]LeftPanel.[2]ComboPanel.[1]ComboCanvas
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[1]LeftPanel.[2]ComboPanel.[1]ComboCanvas.[0]NumText
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[1]LeftPanel.[2]ComboPanel.[2]Line0
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[1]LeftPanel.[2]ComboPanel.[3]Line1
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[1]LeftPanel.[2]ComboPanel.[4]Colorer
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[1]LeftPanel.[3]ScoreCanvas
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[1]LeftPanel.[3]ScoreCanvas.[0]ScoreText
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[1]LeftPanel.[3]ScoreCanvas.[1]ImmediateRankText
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[1]LeftPanel.[3]ScoreCanvas.[2]RelativeScoreText
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[2]RightPanel
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[2]RightPanel.[0]BG
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[2]RightPanel.[1]Top
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[2]RightPanel.[2]MultiplierCanvas
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[9]BasicGameHUD.[2]RightPanel.[2]MultiplierCanvas.[0]BGCircle
