[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[0]EnergyPanel.[4]EnergyBarWrapper.[0]EnergyBar
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[0]EnergyPanel.[5]Laser
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[0]EnergyPanel.[5]Laser.[0]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[0]EnergyPanel.[5]Laser.[1]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[0]EnergyPanel.[6]FailIcon
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[0]EnergyPanel.[7]Colorer
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[1]LeftPanel
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[0]ComboText
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[1]ComboCanvas
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[1]ComboCanvas.[0]NumText
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[2]Line0
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[3]Line1
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[4]Colorer
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas.[0]ScoreText
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas.[1]ImmediateRankText
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas.[2]RelativeScoreText
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[0]BGCircle
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[1]FGCircle
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[2]AnimationCircle
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[3]TextOverlayPanelOutline1
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[3]TextOverlayPanelOutline1.[0]XText
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[3]TextOverlayPanelOutline1.[1]NumText
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[4]TextOverlayPanelOutline0
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[4]TextOverlayPanelOutline0.[0]XText
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[4]TextOverlayPanelOutline0.[1]NumText
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[5]TextPanel
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[5]TextPanel.[0]XText
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[5]TextPanel.[1]NumText
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[6]Colorer
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[0]Progress
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[1]Slider
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[1]Slider.[0]Background
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[1]Slider.[1]Handle Slide Area
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[1]Slider.[1]Handle Slide Area.[0]Handle
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[2]DurationMinutes
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[3]DurationSeconds
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[4]ProgressMinutes
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[5]ProgressSeconds
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[6]BG
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[151]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[7]Colorer
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[152]BigSmokePS
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[153]Crow (3)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[153]Crow (3).[0]Crow
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[154]Crow (2)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[154]Crow (2).[0]Crow
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[155]Crow
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[155]Crow.[0]Crow
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[156]Crow (1)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[156]Crow (1).[0]Crow
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[157]ZombieHand (1)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[157]ZombieHand (1).[0]ZombieHand
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[158]ZombieHand (2)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[158]ZombieHand (2).[0]ZombieHand
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[159]ZombieHand (3)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[159]ZombieHand (3).[0]ZombieHand
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[16]Castle (2)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[160]ZombieHand (4)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[160]ZombieHand (4).[0]ZombieHand
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[161]ZombieHand (5)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[161]ZombieHand (5).[0]ZombieHand
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[162]ZombieHand
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[162]ZombieHand.[0]ZombieHand
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[163]ZombieHand (6)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[163]ZombieHand (6).[0]ZombieHand
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[164]====== LIGHTS ======
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[165]CoreLighting
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[165]CoreLighting.[0]LightManager
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[165]CoreLighting.[1]Gate
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[165]CoreLighting.[2]Top
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[165]CoreLighting.[3]TopLeft
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[165]CoreLighting.[4]TopRight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[165]CoreLighting.[5]Moon
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[166]NeonTubeL (1)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[167]LightEffects
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[168]LightWithIdManager
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[169]NeonTubeR
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[169]NeonTubeR.[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[169]NeonTubeR.[1]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[17]Castle (3)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[170]NeonTubeL
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[170]NeonTubeL.[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[170]NeonTubeL.[1]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[171]NeonTubeR (1)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[172]GateLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[173]Moon
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[173]Moon.[0]NeonTube
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[173]Moon.[0]NeonTube.[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[174]GlowLineL (7)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[174]GlowLineL (7).[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[174]GlowLineL (7).[1]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[175]GlowLineL (6)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[175]GlowLineL (6).[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[175]GlowLineL (6).[1]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[176]GlowLineL (8)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[176]GlowLineL (8).[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[176]GlowLineL (8).[1]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[177]GlowLineL (9)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[177]GlowLineL (9).[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[177]GlowLineL (9).[1]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[178]NeonTubeC
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[179]GroundFog
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[18]Tree3
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[180]RotatingLasersPair (13)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[180]RotatingLasersPair (13).[0]BaseL
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[180]RotatingLasersPair (13).[0]BaseL.[0]Laser
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[180]RotatingLasersPair (13).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[180]RotatingLasersPair (13).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[180]RotatingLasersPair (13).[1]BaseR
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[180]RotatingLasersPair (13).[1]BaseR.[0]Laser
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[180]RotatingLasersPair (13).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[180]RotatingLasersPair (13).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[181]RotatingLasersPair (12)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[181]RotatingLasersPair (12).[0]BaseL
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[181]RotatingLasersPair (12).[0]BaseL.[0]Laser
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[181]RotatingLasersPair (12).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[181]RotatingLasersPair (12).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[181]RotatingLasersPair (12).[1]BaseR
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[181]RotatingLasersPair (12).[1]BaseR.[0]Laser
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[181]RotatingLasersPair (12).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[181]RotatingLasersPair (12).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[182]RotatingLasersPair (7)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[182]RotatingLasersPair (7).[0]BaseL
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[182]RotatingLasersPair (7).[0]BaseL.[0]Laser
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[182]RotatingLasersPair (7).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[182]RotatingLasersPair (7).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[182]RotatingLasersPair (7).[1]BaseR
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[182]RotatingLasersPair (7).[1]BaseR.[0]Laser
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[182]RotatingLasersPair (7).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[182]RotatingLasersPair (7).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[183]RotatingLasersPair (8)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[183]RotatingLasersPair (8).[0]BaseL
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[183]RotatingLasersPair (8).[0]BaseL.[0]Laser
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[183]RotatingLasersPair (8).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[183]RotatingLasersPair (8).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[183]RotatingLasersPair (8).[1]BaseR
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[183]RotatingLasersPair (8).[1]BaseR.[0]Laser
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[183]RotatingLasersPair (8).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[183]RotatingLasersPair (8).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[184]RotatingLasersPair (9)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[184]RotatingLasersPair (9).[0]BaseL
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[184]RotatingLasersPair (9).[0]BaseL.[0]Laser
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[184]RotatingLasersPair (9).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[184]RotatingLasersPair (9).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[184]RotatingLasersPair (9).[1]BaseR
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[184]RotatingLasersPair (9).[1]BaseR.[0]Laser
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[184]RotatingLasersPair (9).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[184]RotatingLasersPair (9).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[185]RotatingLasersPair (10)
[DEBUG @ 18:58:17 | Chroma] HalloweenEnvironment.[0]Environment.[185]RotatingLasersPair (10).[0]BaseL
