[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[0]EnergyPanel.[4]EnergyBarWrapper.[0]EnergyBar
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[0]EnergyPanel.[5]Laser
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[0]EnergyPanel.[5]Laser.[0]BoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[0]EnergyPanel.[5]Laser.[1]BakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[0]EnergyPanel.[6]FailIcon
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[0]EnergyPanel.[7]Colorer
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[1]LeftPanel
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[1]LeftPanel.[0]BG
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[1]LeftPanel.[1]Top
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[1]LeftPanel.[2]ComboPanel
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[1]LeftPanel.[2]ComboPanel.[0]ComboText
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[1]LeftPanel.[2]ComboPanel.[1]ComboCanvas
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[1]LeftPanel.[2]ComboPanel.[1]ComboCanvas.[0]NumText
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[1]LeftPanel.[2]ComboPanel.[2]Line0
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[1]LeftPanel.[2]ComboPanel.[3]Line1
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[1]LeftPanel.[2]ComboPanel.[4]Colorer
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[1]LeftPanel.[3]ScoreCanvas
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[1]LeftPanel.[3]ScoreCanvas.[0]ScoreText
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[1]LeftPanel.[3]ScoreCanvas.[1]ImmediateRankText
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[1]LeftPanel.[3]ScoreCanvas.[2]RelativeScoreText
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[0]BG
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[1]Top
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[2]MultiplierCanvas
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[2]MultiplierCanvas.[0]BGCircle
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[2]MultiplierCanvas.[1]FGCircle
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[2]MultiplierCanvas.[2]AnimationCircle
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[2]MultiplierCanvas.[3]TextOverlayPanelOutline1
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[2]MultiplierCanvas.[3]TextOverlayPanelOutline1.[0]XText
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[2]MultiplierCanvas.[3]TextOverlayPanelOutline1.[1]NumText
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[2]MultiplierCanvas.[4]TextOverlayPanelOutline0
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[2]MultiplierCanvas.[4]TextOverlayPanelOutline0.[0]XText
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[2]MultiplierCanvas.[4]TextOverlayPanelOutline0.[1]NumText
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[2]MultiplierCanvas.[5]TextPanel
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[2]MultiplierCanvas.[5]TextPanel.[0]XText
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[2]MultiplierCanvas.[5]TextPanel.[1]NumText
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[2]MultiplierCanvas.[6]Colorer
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[3]SongProgressCanvas
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[3]SongProgressCanvas.[0]Progress
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[3]SongProgressCanvas.[1]Slider
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[3]SongProgressCanvas.[1]Slider.[0]Background
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[3]SongProgressCanvas.[1]Slider.[1]Handle Slide Area
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[3]SongProgressCanvas.[1]Slider.[1]Handle Slide Area.[0]Handle
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[3]SongProgressCanvas.[2]DurationMinutes
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[3]SongProgressCanvas.[3]DurationSeconds
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[3]SongProgressCanvas.[4]ProgressMinutes
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[3]SongProgressCanvas.[5]ProgressSeconds
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[3]SongProgressCanvas.[6]BG
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[15]BasicGameHUD.[2]RightPanel.[3]SongProgressCanvas.[7]Colorer
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[16]BigSmokePS
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[17]SmallTrackLaneRings
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[18]BigTrackLaneRings
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[19]Spectrograms
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[19]Spectrograms.[0]Spectrogram
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[19]Spectrograms.[0]Spectrogram.[0]Spectrogram0
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[19]Spectrograms.[0]Spectrogram.[1]Spectrogram1
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[19]Spectrograms.[1]Spectrogram
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[19]Spectrograms.[1]Spectrogram.[0]Spectrogram0
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[19]Spectrograms.[1]Spectrogram.[1]Spectrogram1
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[2]FakeMirrorSettings
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[20]DustPS
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[21]====== LIGHTS ======
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[22]GradientBackground
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[23]LightEffects
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[24]LightWithIdManager
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[25]CoreLighting
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[25]CoreLighting.[0]LightManager
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[25]CoreLighting.[1]LightWrapper0
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[25]CoreLighting.[1]LightWrapper0.[0]DirectionalLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[25]CoreLighting.[2]LightWrapper1
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[25]CoreLighting.[2]LightWrapper1.[0]DirectionalLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[25]CoreLighting.[3]DirectionalLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[25]CoreLighting.[4]DirectionalLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[25]CoreLighting.[5]DirectionalLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[26]FrontLights
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[26]FrontLights.[0]NeonTube
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[26]FrontLights.[0]NeonTube.[0]BakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[26]FrontLights.[0]NeonTube.[1]BoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[26]FrontLights.[1]NeonTube (1)
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[26]FrontLights.[1]NeonTube (1).[0]BakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[26]FrontLights.[1]NeonTube (1).[1]BoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[27]DoubleColorLaserR
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[27]DoubleColorLaserR.[0]TopBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[27]DoubleColorLaserR.[1]TopBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[27]DoubleColorLaserR.[2]BottomBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[27]DoubleColorLaserR.[3]BottomBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[28]DoubleColorLaserL
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[28]DoubleColorLaserL.[0]TopBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[28]DoubleColorLaserL.[1]TopBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[28]DoubleColorLaserL.[2]BottomBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[28]DoubleColorLaserL.[3]BottomBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[29]DoubleColorLaserR (1)
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[29]DoubleColorLaserR (1).[0]TopBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[29]DoubleColorLaserR (1).[1]TopBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[29]DoubleColorLaserR (1).[2]BottomBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[29]DoubleColorLaserR (1).[3]BottomBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[3]LightmapLightWithIds
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[30]DoubleColorLaserL (1)
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[30]DoubleColorLaserL (1).[0]TopBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[30]DoubleColorLaserL (1).[1]TopBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[30]DoubleColorLaserL (1).[2]BottomBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[30]DoubleColorLaserL (1).[3]BottomBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[31]DoubleColorLaserR (2)
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[31]DoubleColorLaserR (2).[0]TopBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[31]DoubleColorLaserR (2).[1]TopBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[31]DoubleColorLaserR (2).[2]BottomBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[31]DoubleColorLaserR (2).[3]BottomBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[32]DoubleColorLaserL (2)
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[32]DoubleColorLaserL (2).[0]TopBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[32]DoubleColorLaserL (2).[1]TopBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[32]DoubleColorLaserL (2).[2]BottomBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[32]DoubleColorLaserL (2).[3]BottomBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[33]DoubleColorLaserR (3)
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[33]DoubleColorLaserR (3).[0]TopBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[33]DoubleColorLaserR (3).[1]TopBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[33]DoubleColorLaserR (3).[2]BottomBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[33]DoubleColorLaserR (3).[3]BottomBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[34]DoubleColorLaserL (3)
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[34]DoubleColorLaserL (3).[0]TopBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[34]DoubleColorLaserL (3).[1]TopBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[34]DoubleColorLaserL (3).[2]BottomBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[34]DoubleColorLaserL (3).[3]BottomBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[35]DoubleColorLaserR (4)
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[35]DoubleColorLaserR (4).[0]TopBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[35]DoubleColorLaserR (4).[1]TopBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[35]DoubleColorLaserR (4).[2]BottomBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[35]DoubleColorLaserR (4).[3]BottomBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[36]DoubleColorLaserL (4)
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[36]DoubleColorLaserL (4).[0]TopBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[36]DoubleColorLaserL (4).[1]TopBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[36]DoubleColorLaserL (4).[2]BottomBoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[36]DoubleColorLaserL (4).[3]BottomBakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[37]RotatingLasersPair
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[37]RotatingLasersPair.[0]BaseL
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[37]RotatingLasersPair.[0]BaseL.[0]Laser
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[37]RotatingLasersPair.[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[37]RotatingLasersPair.[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[37]RotatingLasersPair.[1]BaseR
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[37]RotatingLasersPair.[1]BaseR.[0]Laser
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[37]RotatingLasersPair.[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[37]RotatingLasersPair.[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[38]RotatingLasersPair (1)
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[38]RotatingLasersPair (1).[0]BaseL
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[38]RotatingLasersPair (1).[0]BaseL.[0]Laser
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[38]RotatingLasersPair (1).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[38]RotatingLasersPair (1).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[38]RotatingLasersPair (1).[1]BaseR
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[38]RotatingLasersPair (1).[1]BaseR.[0]Laser
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[38]RotatingLasersPair (1).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[38]RotatingLasersPair (1).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[39]RotatingLasersPair (2)
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[39]RotatingLasersPair (2).[0]BaseL
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[39]RotatingLasersPair (2).[0]BaseL.[0]Laser
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[39]RotatingLasersPair (2).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:45:43 | Chroma] DefaultEnvironment.[0]Environment.[39]RotatingLasersPair (2).[0]BaseL.[0]Laser.[1]BoxLight
