[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[29]RotatingLasersPair (1).[1]BaseR.[0]Laser
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[29]RotatingLasersPair (1).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[29]RotatingLasersPair (1).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[3]BakedReflectionProbeInstaller
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[30]RotatingLasersPair (2)
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[30]RotatingLasersPair (2).[0]BaseL
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[30]RotatingLasersPair (2).[0]BaseL.[0]Laser
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[30]RotatingLasersPair (2).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[30]RotatingLasersPair (2).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[30]RotatingLasersPair (2).[1]BaseR
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[30]RotatingLasersPair (2).[1]BaseR.[0]Laser
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[30]RotatingLasersPair (2).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[30]RotatingLasersPair (2).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[31]RotatingLasersPair (3)
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[31]RotatingLasersPair (3).[0]BaseL
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[31]RotatingLasersPair (3).[0]BaseL.[0]Laser
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[31]RotatingLasersPair (3).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[31]RotatingLasersPair (3).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[31]RotatingLasersPair (3).[1]BaseR
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[31]RotatingLasersPair (3).[1]BaseR.[0]Laser
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[31]RotatingLasersPair (3).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[31]RotatingLasersPair (3).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[32]RotatingLasersPair (4)
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[32]RotatingLasersPair (4).[0]BaseL
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[32]RotatingLasersPair (4).[0]BaseL.[0]Laser
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[32]RotatingLasersPair (4).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[32]RotatingLasersPair (4).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[32]RotatingLasersPair (4).[1]BaseR
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[32]RotatingLasersPair (4).[1]BaseR.[0]Laser
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[32]RotatingLasersPair (4).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[32]RotatingLasersPair (4).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[33]Laser
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[33]Laser.[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[33]Laser.[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[34]Laser (1)
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[34]Laser (1).[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[34]Laser (1).[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[35]Laser (2)
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[35]Laser (2).[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[35]Laser (2).[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[36]Laser (3)
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[36]Laser (3).[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[36]Laser (3).[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[4]FakeMirrorSettings
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[5]====== STATIC ======
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[6]Construction
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[7]TrackConstruction
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[8]PlayersPlace
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[8]PlayersPlace.[0]Mirror
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[8]PlayersPlace.[1]Feet
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[8]PlayersPlace.[2]Construction
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[8]PlayersPlace.[3]RectangleFakeGlow
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[8]PlayersPlace.[4]Frame
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[8]PlayersPlace.[5]SaberBurnMarksParticles
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[8]PlayersPlace.[5]SaberBurnMarksParticles.[0]SaberBurnMarkSparklePS
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[8]PlayersPlace.[6]SaberBurnMarksArea
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[8]PlayersPlace.[7]Collider
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[9]TrackMirror
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[9]TrackMirror.[0]SetDepthOnly
[DEBUG @ 19:12:33 | Chroma] GameCore.[10]LightsTrackLaneRing(Clone)
[DEBUG @ 19:12:33 | Chroma] GameCore.[10]LightsTrackLaneRing(Clone).[0]Laser
[DEBUG @ 19:12:33 | Chroma] GameCore.[10]LightsTrackLaneRing(Clone).[0]Laser.[0]BakedBloom
[DEBUG @ 19:12:33 | Chroma] GameCore.[10]LightsTrackLaneRing(Clone).[0]Laser.[1]BoxLight
[DEBUG @ 19:12:33 | Chroma] GameCore.[10]LightsTrackLaneRing(Clone).[1]Laser (1)
[DEBUG @ 19:12:33 | Chroma] GameCore.[10]LightsTrackLaneRing(Clone).[1]Laser (1).[0]BakedBloom
[DEBUG @ 19:12:33 | Chroma] GameCore.[10]LightsTrackLaneRing(Clone).[1]Laser (1).[1]BoxLight
[DEBUG @ 19:12:33 | Chroma] GameCore.[10]LightsTrackLaneRing(Clone).[2]Laser (2)
[DEBUG @ 19:12:33 | Chroma] GameCore.[10]LightsTrackLaneRing(Clone).[2]Laser (2).[0]BakedBloom
[DEBUG @ 19:12:33 | Chroma] GameCore.[10]LightsTrackLaneRing(Clone).[2]Laser (2).[1]BoxLight
[DEBUG @ 19:12:33 | Chroma] GameCore.[10]LightsTrackLaneRing(Clone).[3]Laser (3)
[DEBUG @ 19:12:33 | Chroma] GameCore.[10]LightsTrackLaneRing(Clone).[3]Laser (3).[0]BakedBloom
[DEBUG @ 19:12:33 | Chroma] GameCore.[10]LightsTrackLaneRing(Clone).[3]Laser (3).[1]BoxLight
[DEBUG @ 19:12:33 | Chroma] GameCore.[11]LightsTrackLaneRing(Clone)
[DEBUG @ 19:12:33 | Chroma] GameCore.[11]LightsTrackLaneRing(Clone).[0]Laser
[DEBUG @ 19:12:33 | Chroma] GameCore.[11]LightsTrackLaneRing(Clone).[0]Laser.[0]BakedBloom
[DEBUG @ 19:12:33 | Chroma] GameCore.[11]LightsTrackLaneRing(Clone).[0]Laser.[1]BoxLight
[DEBUG @ 19:12:33 | Chroma] GameCore.[11]LightsTrackLaneRing(Clone).[1]Laser (1)
[DEBUG @ 19:12:33 | Chroma] GameCore.[11]LightsTrackLaneRing(Clone).[1]Laser (1).[0]BakedBloom
[DEBUG @ 19:12:33 | Chroma] GameCore.[11]LightsTrackLaneRing(Clone).[1]Laser (1).[1]BoxLight
[DEBUG @ 19:12:33 | Chroma] GameCore.[11]LightsTrackLaneRing(Clone).[2]Laser (2)
[DEBUG @ 19:12:33 | Chroma] GameCore.[11]LightsTrackLaneRing(Clone).[2]Laser (2).[0]BakedBloom
[DEBUG @ 19:12:33 | Chroma] GameCore.[11]LightsTrackLaneRing(Clone).[2]Laser (2).[1]BoxLight
[DEBUG @ 19:12:33 | Chroma] GameCore.[11]LightsTrackLaneRing(Clone).[3]Laser (3)
[DEBUG @ 19:12:33 | Chroma] GameCore.[11]LightsTrackLaneRing(Clone).[3]Laser (3).[0]BakedBloom
[DEBUG @ 19:12:33 | Chroma] GameCore.[11]LightsTrackLaneRing(Clone).[3]Laser (3).[1]BoxLight
[DEBUG @ 19:12:33 | Chroma] GameCore.[12]LightsTrackLaneRing(Clone)
[DEBUG @ 19:12:33 | Chroma] GameCore.[12]LightsTrackLaneRing(Clone).[0]Laser
[DEBUG @ 19:12:33 | Chroma] GameCore.[12]LightsTrackLaneRing(Clone).[0]Laser.[0]BakedBloom
[DEBUG @ 19:12:33 | Chroma] GameCore.[12]LightsTrackLaneRing(Clone).[0]Laser.[1]BoxLight
[DEBUG @ 19:12:33 | Chroma] GameCore.[12]LightsTrackLaneRing(Clone).[1]Laser (1)
[DEBUG @ 19:12:33 | Chroma] GameCore.[12]LightsTrackLaneRing(Clone).[1]Laser (1).[0]BakedBloom
[DEBUG @ 19:12:33 | Chroma] GameCore.[12]LightsTrackLaneRing(Clone).[1]Laser (1).[1]BoxLight
[DEBUG @ 19:12:33 | Chroma] GameCore.[12]LightsTrackLaneRing(Clone).[2]Laser (2)
[DEBUG @ 19:12:33 | Chroma] GameCore.[12]LightsTrackLaneRing(Clone).[2]Laser (2).[0]BakedBloom
[DEBUG @ 19:12:33 | Chroma] GameCore.[12]LightsTrackLaneRing(Clone).[2]Laser (2).[1]BoxLight
[DEBUG @ 19:12:33 | Chroma] GameCore.[12]LightsTrackLaneRing(Clone).[3]Laser (3)
[DEBUG @ 19:12:33 | Chroma] GameCore.[12]LightsTrackLaneRing(Clone).[3]Laser (3).[0]BakedBloom
[DEBUG @ 19:12:33 | Chroma] GameCore.[12]LightsTrackLaneRing(Clone).[3]Laser (3).[1]BoxLight
[DEBUG @ 19:12:33 | Chroma] GameCore.[13]LightsTrackLaneRing(Clone)
[DEBUG @ 19:12:33 | Chroma] GameCore.[13]LightsTrackLaneRing(Clone).[0]Laser
[DEBUG @ 19:12:33 | Chroma] GameCore.[13]LightsTrackLaneRing(Clone).[0]Laser.[0]BakedBloom
[DEBUG @ 19:12:33 | Chroma] GameCore.[13]LightsTrackLaneRing(Clone).[0]Laser.[1]BoxLight
[DEBUG @ 19:12:33 | Chroma] GameCore.[13]LightsTrackLaneRing(Clone).[1]Laser (1)
