[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[1]ComboCanvas.[0]NumText
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[2]Line0
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[3]Line1
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas.[0]ScoreText
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas.[1]ImmediateRankText
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas.[2]RelativeScoreText
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[0]BGCircle
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[1]FGCircle
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[2]AnimationCircle
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[3]TextOverlayPanelOutline1
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[3]TextOverlayPanelOutline1.[0]XText
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[3]TextOverlayPanelOutline1.[1]NumText
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[4]TextOverlayPanelOutline0
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[4]TextOverlayPanelOutline0.[0]XText
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[4]TextOverlayPanelOutline0.[1]NumText
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[5]TextPanel
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[5]TextPanel.[0]XText
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[5]TextPanel.[1]NumText
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[0]Progress
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[1]Slider
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[1]Slider.[0]Background
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[1]Slider.[1]Handle Slide Area
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[1]Slider.[1]Handle Slide Area.[0]Handle
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[2]DurationMinutes
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[3]DurationSeconds
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[4]ProgressMinutes
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[5]ProgressSeconds
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[6]BG
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[13]RocketArenaLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[14]BigSmokePS
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[15]RocketGateLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[16]LightWithIdManager
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[17]DirectionalLightManager
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[18]CoreLighting
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[18]CoreLighting.[0]LightManager
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[18]CoreLighting.[1]LightWrapper0
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[18]CoreLighting.[1]LightWrapper0.[0]DirectionalLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[18]CoreLighting.[2]LightWrapper1
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[18]CoreLighting.[2]LightWrapper1.[0]DirectionalLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[18]CoreLighting.[3]DirectionalLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[18]CoreLighting.[4]DirectionalLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[18]CoreLighting.[5]DirectionalLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[19]LightEffects
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[2]====== STATIC ======
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[20]GateLight0
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[20]GateLight0.[0]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[20]GateLight0.[1]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[21]GateLight1
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[21]GateLight1.[0]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[21]GateLight1.[1]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[22]FrontLights
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[22]FrontLights.[0]NeonTube
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[22]FrontLights.[0]NeonTube.[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[22]FrontLights.[0]NeonTube.[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[22]FrontLights.[1]NeonTube (1)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[22]FrontLights.[1]NeonTube (1).[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[22]FrontLights.[1]NeonTube (1).[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[23]GateLight1 (4)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[23]GateLight1 (4).[0]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[23]GateLight1 (4).[1]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[24]EnvLight0
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[24]EnvLight0.[0]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[24]EnvLight0.[1]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[25]EnvLight0 (2)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[25]EnvLight0 (2).[0]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[25]EnvLight0 (2).[1]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[26]EnvLight0 (4)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[26]EnvLight0 (4).[0]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[26]EnvLight0 (4).[1]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[27]EnvLight0 (6)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[27]EnvLight0 (6).[0]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[27]EnvLight0 (6).[1]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[28]EnvLight0 (7)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[28]EnvLight0 (7).[0]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[28]EnvLight0 (7).[1]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[29]EnvLight0 (8)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[29]EnvLight0 (8).[0]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[29]EnvLight0 (8).[1]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[3]Mirror
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[3]Mirror.[0]MirrorSetDepth
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[30]EnvLight0 (3)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[30]EnvLight0 (3).[0]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[30]EnvLight0 (3).[1]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[31]EnvLight0 (5)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[31]EnvLight0 (5).[0]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[31]EnvLight0 (5).[1]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[32]EnvLight0 (9)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[32]EnvLight0 (9).[0]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[32]EnvLight0 (9).[1]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[33]GlowLineL (1)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[33]GlowLineL (1).[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[33]GlowLineL (1).[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[34]GlowLineR (1)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[34]GlowLineR (1).[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[34]GlowLineR (1).[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[35]GlowLineL (2)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[35]GlowLineL (2).[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[35]GlowLineL (2).[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[36]GlowLineL (3)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[36]GlowLineL (3).[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[36]GlowLineL (3).[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[37]GlowLineL (4)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[37]GlowLineL (4).[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[37]GlowLineL (4).[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[38]GlowLineL (5)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[38]GlowLineL (5).[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[38]GlowLineL (5).[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[39]BackColumns
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[39]BackColumns.[0]BackColumnNeon
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[39]BackColumns.[0]BackColumnNeon.[0]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[39]BackColumns.[0]BackColumnNeon.[1]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[39]BackColumns.[1]BackColumnNeon
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[39]BackColumns.[1]BackColumnNeon.[0]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[39]BackColumns.[1]BackColumnNeon.[1]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[4]RocketArena
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[40]GlowLineL (6)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[40]GlowLineL (6).[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[40]GlowLineL (6).[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[41]GlowLineL (7)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[41]GlowLineL (7).[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[41]GlowLineL (7).[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[42]GlowLineL (8)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[42]GlowLineL (8).[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[42]GlowLineL (8).[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[43]GlowLineL (9)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[43]GlowLineL (9).[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[43]GlowLineL (9).[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[44]GradientBackground
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[45]RotatingLasersPair (13)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[45]RotatingLasersPair (13).[0]BaseL
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[45]RotatingLasersPair (13).[0]BaseL.[0]Laser
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[45]RotatingLasersPair (13).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[45]RotatingLasersPair (13).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[45]RotatingLasersPair (13).[1]BaseR
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[45]RotatingLasersPair (13).[1]BaseR.[0]Laser
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[45]RotatingLasersPair (13).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[45]RotatingLasersPair (13).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[46]RotatingLasersPair (12)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[46]RotatingLasersPair (12).[0]BaseL
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[46]RotatingLasersPair (12).[0]BaseL.[0]Laser
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[46]RotatingLasersPair (12).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[46]RotatingLasersPair (12).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[46]RotatingLasersPair (12).[1]BaseR
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[46]RotatingLasersPair (12).[1]BaseR.[0]Laser
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[46]RotatingLasersPair (12).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[46]RotatingLasersPair (12).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[47]RotatingLasersPair (7)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[47]RotatingLasersPair (7).[0]BaseL
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[47]RotatingLasersPair (7).[0]BaseL.[0]Laser
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[47]RotatingLasersPair (7).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[47]RotatingLasersPair (7).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[47]RotatingLasersPair (7).[1]BaseR
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[47]RotatingLasersPair (7).[1]BaseR.[0]Laser
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[47]RotatingLasersPair (7).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[47]RotatingLasersPair (7).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[48]RotatingLasersPair (8)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[48]RotatingLasersPair (8).[0]BaseL
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[48]RotatingLasersPair (8).[0]BaseL.[0]Laser
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[48]RotatingLasersPair (8).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[48]RotatingLasersPair (8).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[48]RotatingLasersPair (8).[1]BaseR
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[48]RotatingLasersPair (8).[1]BaseR.[0]Laser
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[48]RotatingLasersPair (8).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[48]RotatingLasersPair (8).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[49]RotatingLasersPair (9)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[49]RotatingLasersPair (9).[0]BaseL
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[49]RotatingLasersPair (9).[0]BaseL.[0]Laser
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[49]RotatingLasersPair (9).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[49]RotatingLasersPair (9).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[49]RotatingLasersPair (9).[1]BaseR
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[49]RotatingLasersPair (9).[1]BaseR.[0]Laser
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[49]RotatingLasersPair (9).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[49]RotatingLasersPair (9).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[5]Construction
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[50]RotatingLasersPair (10)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[50]RotatingLasersPair (10).[0]BaseL
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[50]RotatingLasersPair (10).[0]BaseL.[0]Laser
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[50]RotatingLasersPair (10).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[50]RotatingLasersPair (10).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[50]RotatingLasersPair (10).[1]BaseR
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[50]RotatingLasersPair (10).[1]BaseR.[0]Laser
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[50]RotatingLasersPair (10).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[50]RotatingLasersPair (10).[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[51]RotatingLasersPair (11)
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[51]RotatingLasersPair (11).[0]BaseL
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[51]RotatingLasersPair (11).[0]BaseL.[0]Laser
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[51]RotatingLasersPair (11).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[51]RotatingLasersPair (11).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[51]RotatingLasersPair (11).[1]BaseR
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[51]RotatingLasersPair (11).[1]BaseR.[0]Laser
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[51]RotatingLasersPair (11).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[51]RotatingLasersPair (11).[1]BaseR.[0]Laser.[1]BoxLight
